"id","year_start","year_end","description","stack","cms","link","active"
"Artcreatiu",2015,2024,"Desarrollo web tienda online. Mailing, estadisticas de facturacion, stock, pedidos, etc.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://www.artcreatiu.com/","true"
"51trips",2022,2022,"Desarrollo web de 51Trips, web que detalla las caracterisitcas de la App para crear ""Trip Books"" personalizados, permitiendo a los usuarios documentar y compartir experiencias de viaje.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://51tripsbrand.com/","true"
"Alpervintage",2018,2018,"Desarrollo web de la web sobre asesoramiento e inversiones en empresas de servicios y productos premium.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, CSS","CMS Propio","http://www.alpervintage.com/",
"Estudi Amsa",2023,2023,"Desarrollé el sitio web de Estudi Amsa, un estudio de diseño de interiores que destaca sus proyectos de renovación en viviendas, oficinas y espacios comerciales. El sitio presenta una galería de proyectos realizados, enfocándose en la funcionalidad, estética y detalles de cada diseño. Implementé una interfaz de usuario fluida que permite a los visitantes explorar el portafolio del estudio y contactarlo fácilmente, resaltando la calidad y diversidad de sus servicios de diseño interior.","PHP, MYSQL, JAVASCRIPT, HTML, CSS","Wordpress","https://www.estudiamsa.com/",
"Coromina",2016,2016,"Desarrollé el sitio web para Centro Coromina, destacado en otorrinolaringología en Barcelona, enfocado en mostrar servicios especializados, tecnología avanzada como cirugías láser y robóticas, y el equipo médico liderado por el Dr. Jordi Coromina. El diseño web facilita a los pacientes la reserva de citas y acceso a información detallada sobre tratamientos y publicaciones del centro.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio","https://centrocoromina.com/",
"Dalla Polvere",2017,2017,"Desarrollo web de la página de Dalla Polvere sobre decoracion de interiores y venta de antiguedades. Varias galerías en línea que exhiben y venden arte único y productos de diseño.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, CSS","-","https://www.dallapolvere.com/",
"Dermik",2019,2019,"Para el desarrollo del sitio web de Dermik, se creó una plataforma enfocada en la experiencia del usuario, facilitando el acceso a información sobre servicios dermatológicos y estéticos. Se priorizó un diseño limpio y profesional que refleja la calidad y seriedad de la clínica, integrando funcionalidades como la solicitud de citas en línea. La estructura del sitio permite a los usuarios navegar fácilmente por las distintas secciones, destacando la especialización en dermatología pediátrica, general y estética.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS","CMS Propio, Wordpress","https://www.dermik.es/",
"Diagonal Mar",2023,2023,"Desarrollo web privada para B2B, para el alquiler de espacios dentro del centro comercial Diagonal mar. Web muy visual y con muchos efectos dinamicos, scroll horizonta, video en linea y otros efectos que hacen destacar sus contenidos.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://b2b.diagonalmarcentre.es",
"Cursa El Corte Ingles",2014,2020,"Desarrollo web para la Cursa de El Corte Ingles desde 2009 hasta 2022.
He desarrollado el sistema de inscripciones on y offline, cada año programamos su front y back end, y gestionamos todo el proceso de inscripción. Un gran proyecto para uno de los eventos deportivos más populares de Europa. ","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio, Wordpress","https://cursaelcorteingles.cat/",
"Fundacio Josep Carreras - KeepUp",2016,2018,"Plataforma web para publicaciones estilo blog, con un backend donde se pueden preparar y enviar newsletters con las noticias creadas, usando la API de Mailchimp y varias plantillas personalizadas de correos.","PHP, MYSQL, JAVASCRIPT, JQUERY, HTML, SCSS, BOOTSTRAP","CMS Propio","https://keepupnews.org/",
